Id,Comuna
10,CALAMA
13,COPIAPÓ
19,LA SERENA
21,COQUIMBO
25,OVALLE
32,SALAMANCA
34,VALPARAISO
35,QUINTERO
36,PUCHUNCAVI
37,VIÑA DEL MAR
38,QUILPUÉ
40,CASABLANCA
42,SAN ANTONIO
44,ALGARROBO
45,EL QUISCO
46,CARTAGENA
47,EL TABO
48,QUILLOTA
50,LA CALERA
53,LIMACHE
56,CABILDO
57,PAPUDO
58,ZAPALLAR
59,LA LIGUA
60,SAN FELIPE
63,CATEMU
66,LOS ANDES
68,RINCONADA
70,SANTIAGO
71,LAS CONDES
72,PROVIDENCIA
75,CONCHALÍ
76,COLINA
77,RENCA
78,LAMPA
79,QUILICURA
80,TIL TIL
81,QUINTA NORMAL
82,PUDAHUEL
83,CURACAVI
85,PEÑAFLOR
86,TALAGANTE
87,ISLA DE MAIPO
88,MELIPILLA
89,EL MONTE
90,MARÍA PINTO
91,ÑUÑOA
92,LA REINA
93,LA FLORIDA
94,MAIPÚ
95,SAN MIGUEL
96,LA CISTERNA
97,LA GRANJA
98,SAN BERNARDO
99,CALERA DE TANGO
100,PUENTE ALTO
101,PIRQUE
102,SAN JOSÉ DE MAIPO
103,BUIN
104,PAINE
105,RANCAGUA
106,MACHALI
107,GRANEROS
108,SAN PEDRO
109,ALHUE
111,MOSTAZAL
112,DOÑIHUE
115,PEUMO
116,LAS CABRAS
117,SAN VICENTE
119,REQUÍNOA
120,OLIVAR
121,RENGO
122,MALLOA
124,SAN FERNANDO
126,NANCAGUA
137,PICHILEMU
140,CURICO
145,LICANTEN
150,TALCA
156,SAN JAVIER
157,CONSTITUCION
159,LINARES
164,PARRAL
198,ARAUCO
227,TEMUCO
242,PUCON
322,PEÑALOLÉN
323,MACUL
324,CERRO NAVIA
325,LO PRADO
326,SAN RAMON
327,LA PINTANA
328,ESTACIÓN CENTRAL
329,RECOLETA
330,INDEPENDENCIA
331,VITACURA
332,LO BARNECHEA
333,CERRILLOS
334,HUECHURABA
335,SAN JOAQUÍN
336,PEDRO AGUIRRE CERDA
337,LO ESPEJO
338,EL BOSQUE
339,PADRE HURTADO
998,NO ESPECIFICA
