Id;MarcaVeh
1;ACADIAN
2;ACURA
3;ALFA ROMEO
4;AMERICAN MOTORS
5;ARO
6;ASIA MOTORS
7;AUDI
8;AUSTIN
9;AUTORRAD
10;BEIGING
11;BMW
12;BUICK
13;BYD
14;CADILLAC
15;CHANGAN
16;CHERY
17;CHEVROLET
18;CHRYSLER
19;CITROEN
20;COMMER
21;DACIA
22;DAEWOO
23;DAIHATSU
24;DATSUN
25;DODGE
26;DONGFENG
27;F.S.O.
28;FERRARI
29;FIAT
30;FORD
31;G.M.C.
32;GEELY
33;GREAT WALL
34;HAFEI
35;HILLMAN
36;HONDA
37;HYUNDAI
38;INTERNATIONAL
39;ISUZU
40;JAC
41;JAGUAR
42;JEEP
43;JINBEI
44;JMC
45;KIA MOTORS
46;LADA
47;LANCIA
48;LAND ROVER
49;LEXUS
50;LIFAN
51;LINCOLN
52;MAHINDRA
53;MASERATI
54;MAZDA
55;MERCEDES BENZ
56;MERCURY
57;MG
58;MINI
59;MITSUBISHI
60;MORRIS
61;NISSAN
62;NSU
63;OLDSMOBILE
64;OPEL
65;PEUGEOT
66;PLYMOUTH
67;POLSKI FIAT
68;PONTIAC
69;PORSCHE
70;PROTON
71;PUMA
72;RENAULT
73;ROVER
74;SAAB
75;SAEHAN
76;SAMSUNG
77;SANFU
78;SEAT
79;SIMCA
80;SKODA
81;SMA
82;SSANGYONG
83;SUBARU
84;SUZUKI
85;TATA
86;TOYOTA
87;VOLKSWAGEN
88;VOLVO
89;WILLYS
90;YUGO
91;ZASTAVA
92;ZOTYE
93;ZX
94;APRILIA
95;BAJAJ
96;BENELLI
97;BENYI
98;BENZHOU
99;BIMOTA
100;BMW
101;BOATIAN
102;BUELL
103;BULTACO
104;CAGIVA
105;CFMOTO
106;DAELIM
107;DAYUN
108;DUCATTI
109;DUNNA
110;DYNA
111;EUROMOT
112;FLSTF
113;FOX
114;FXA
115;GARELLI
116;GILERA
117;GUZZI
118;HARLEY
119;HARLEY-DAVIDSON
120;HARTFORD
121;HENSIM
122;HERO-PUCH
123;HONDA
124;HUSABERG
125;HUSQVARNA
126;HYOSUNG
127;INDIAN
128;JAWA
129;JIANSHE
130;KAWASAKI
131;KAYAK
132;KEEWAY
133;KINLON
134;KTM
135;KYMCO
136;LAND ROVER
137;LIFAN
138;LONCIN
139;LUOJIA
140;MAICO
141;MONTELLI
142;MONTESA
143;MOTO BECANE
144;MOTORRAD
145;MSK
146;MV AGUSTA
147;PIAGGIO
148;POLARIS
149;REGAL RAPTOR
150;RIZATO
151;SACH
152;SANYA
153;SANYANG SYM
154;SHINERAY
155;SKYGO
156;SPITZ
157;SUZUKI
158;TAKASAKI
159;TM
160;TORITO
161;TRIUMPH
162;TVS
163;UNITED MOTORS
164;URAL
165;VESPA
166;WANGYE
167;WOLKEN
168;XGJAO
169;XINGYUE
170;XMOTORS
171;YAMAHA
172;YAMAMOTO
173;ZANELLAS
174;ZNEN GROUP
175;ZONGSHEN
176;ZUNDAPP
997;OTRO
998;NO RESPONDE
999;NO SABE
