id,P18
A,"Agricultura, ganadería, silvicultura y pesca"
"98",No aplica
"99",Missing
B,Explotación de minas y canteras
C,Industrias manufactureras
D,"Suministro de electricidad, gas, vapor y aire acondicionado"
E,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación"
F,Construcción
G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas
H,Transporte y almacenamiento
I,Actividades de alojamiento y de servicios de comidas
J,Información y comunicaciones
K,Actividades financieras y de seguros
L,Actividades inmobiliarias
M,"Actividades profesionales, científicas y técnicas"
N,Actividades de servicios administrativos y de apoyo
O,Administración pública y defensa; planes de seguridad social de afiliación obligatoria
P,Enseñanza
Q,Actividades de atención de la salud humana y de asistencia social
R,"Actividades artísticas, de entretenimiento y recreativas"
S,Otras actividades de servicios
T,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio
U,Actividades de organizaciones y órganos extraterritoriales
Z,Rama no declarada
